postcode,easting,northing,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority
SL6 5JG,486106,181317,,,,3680.0,Windsor and Maidenhead
KT13 0RG,507663,163164,Unsurveyed/Urban,30.0,,,
SW17 7QL,528062,172940,Unsurveyed/Urban,30.0,River Wandle,,Wandsworth
BS22 7GB,336196,163963,Cambisols,10.0,River Banwell,,
RG45 7AR,485581,169271,Unsurveyed/Urban,60.0,,,Bracknell Forest
GU4 8JP,500530,146153,,50.0,Littlebrook,300.0,Guildford
GU51 4FL,481569,155037,,70.0,,160.0,Hart
BA7 7NW,363999,132198,,,,,
BS19 2XS,346115,170403,,,,,North Somerset
SO40 0SG,430311,107932,Planosols,40.0,,1100.0,New Forest
SE16 1WH,536300,179400,,10.0,,680.0,Southwark
BA11 3DQ,377196,148287,Unsurveyed/Urban,,River Frome,880.0,Mendip
RG13 1JS,447301,167598,Unsurveyed/Urban,,River Kennet,,
RG41 3HU,479751,169283,Unsurveyed/Urban,,Emm Brook,350.0,Wokingham
RG9 1UQ,475501,182564,,,River Thames,1040.0,South Oxfordshire
DA5 3DP,549608,173648,,20.0,,1640.0,Bexley
EX13 5TN,329700,97100,,,,770.0,
RG12 1DE,486989,169337,Unsurveyed/Urban,70.0,,1170.0,Bracknell Forest
DA3 8NS,558534,165423,Leptosols,90.0,,4840.0,Sevenoaks
RG3 6AL,468091,173994,,70.0,River Thames,,Reading
TW2 6SS,515400,173200,Unsurveyed/Urban,10.0,,1010.0,Richmond upon Thames
TA6 4YA,331689,137624,,10.0,Bridgwater and Taunton Canal,3560.0,Sedgemoor
BA14 0EP,385240,156703,Unsurveyed/Urban,50.0,Lambrok Stream,,Wiltshire
DA15 8AD,546002,172751,Unsurveyed/Urban,,,790.0,
SW8 1DU,530384,177748,,10.0,River Thames,1780.0,Lambeth
SW18 1YU,525769,173689,Unsurveyed/Urban,10.0,River Wandle,,Wandsworth
KT15 1YN,505258,164668,Unsurveyed/Urban,20.0,The Bourne,,Runnymede
BH31 9AD,410557,107663,Gleysols,30.0,Ebblake Stream,380.0,
PO21 2EH,493327,99837,Unsurveyed/Urban,10.0,,1250.0,Arun
EX1 3GH,295587,93264,Arenosols,50.0,Pin Brook,1700.0,
BS12 1EX,363965,190691,Unsurveyed/Urban,,,,
SO3 3BE,446686,114258,Unsurveyed/Urban,,,1800.0,Eastleigh
SW18 4WZ,525769,173689,,10.0,River Wandle,1070.0,Wandsworth
TN13 9QL,553007,154630,,150.0,,1960.0,Sevenoaks
SO20 6QJ,436699,129340,Luvisols,100.0,,2130.0,Test Valley
SL5 8YY,493767,167833,Podsols,,,,Windsor and Maidenhead
RG1 9RE,471613,170786,Unsurveyed/Urban,,,550.0,Reading
PO19 4HD,487591,104757,,10.0,River Lavant,,
TN3 0JA,554287,139177,,,River Grom,1380.0,Tunbridge Wells
BS1 9TE,358267,172797,Unsurveyed/Urban,20.0,,,
KT17 1SA,522031,162541,Unsurveyed/Urban,,Hogsmill River,690.0,Epsom and Ewell
EX6 7HN,281830,86602,Histosols,,,760.0,Teignbridge
SW11 3TX,526534,175823,Unsurveyed/Urban,10.0,,650.0,Wandsworth
BS37 4YN,371389,182380,Unsurveyed/Urban,,River Frome,,
BH17 7TW,402902,93893,Podsols,30.0,,1750.0,"Bournemouth, Christchurch and Poole"
SE1 6UB,533378,178838,Unsurveyed/Urban,10.0,,1400.0,Southwark
TQ13 8PR,274734,88024,,290.0,,990.0,Teignbridge
BN12 6JN,511251,103830,,10.0,,1540.0,Worthing
BS37 7BX,372337,184979,,90.0,,110.0,
RG24 4EE,462321,153521,Unsurveyed/Urban,,River Loddon,1750.0,Basingstoke and Deane
GU22 7YB,499800,157800,,40.0,Hoe Stream,,Woking
PO33 4DL,456062,90400,,40.0,,610.0,Isle of Wight
DT11 7RQ,388637,106506,Unsurveyed/Urban,,River Stour,1740.0,Dorset
TQ4 5LD,288409,60415,Unsurveyed/Urban,20.0,,960.0,
TN9 2DR,559635,145833,Unsurveyed/Urban,,,530.0,Tonbridge and Malling
RG4 9RJ,470936,180104,Luvisols,,Berry Brook,5430.0,South Oxfordshire
SL6 3GS,489271,180741,,30.0,White Brook,,Windsor and Maidenhead
RH15 0NG,532787,119523,,40.0,,780.0,
SE5 5DJ,532295,176697,,,River Thames,3960.0,Southwark
PL23 1AQ,212630,51760,,10.0,River Fowey,,
SE5 7WG,532295,176697,Unsurveyed/Urban,10.0,,3960.0,Southwark
TW3 9BZ,513939,175863,Unsurveyed/Urban,20.0,River Crane,,Hounslow
DA14 4BQ,546322,171893,Unsurveyed/Urban,60.0,Wyncham Stream,1610.0,
TA4 2RP,309991,130604,,130.0,,300.0,Somerset West and Taunton
BS12 3BB,357417,189110,Luvisols,10.0,Foss Ditch,1060.0,
EX14 1JR,316126,100593,Unsurveyed/Urban,,,530.0,East Devon
BN3 6NU,529849,105989,,70.0,River Adur,6520.0,
SW2 4PT,530300,173400,,50.0,River Thames,4980.0,
BH20 9BF,392582,88553,Histosols,10.0,,1350.0,
BH25 5WW,424066,95449,,40.0,,,New Forest
TR11 3DG,180777,32994,Unsurveyed/Urban,0.0,Penryn River,,Cornwall
SE12 0WZ,542733,174310,Unsurveyed/Urban,,,1130.0,Greenwich
SO32 3PP,460787,114640,Stagnosols,70.0,River Meon,,Winchester
CR3 6LU,534215,155966,,140.0,,3780.0,Tandridge
BS4 5RQ,363026,170256,,60.0,River Avon,,"Bristol, City of"
SE6 4TX,537700,173900,Unsurveyed/Urban,20.0,Ravensbourne River,190.0,
SN11 0HS,399833,171004,Unsurveyed/Urban,70.0,River Marden,300.0,
GU14 7DW,488100,154812,Unsurveyed/Urban,70.0,,,Rushmoor
PL8 1BX,254764,48063,Cambisols,30.0,,,South Hams
TQ12 5YB,287235,66079,Cambisols,,,1080.0,Teignbridge
KT2 5ED,518292,169669,Unsurveyed/Urban,10.0,River Thames,,Kingston upon Thames
SE9 3UG,544579,172463,Unsurveyed/Urban,50.0,,350.0,
BS40 8EW,354125,165034,,100.0,,840.0,North Somerset
TQ1 9EW,290155,66144,Unsurveyed/Urban,60.0,,,
UB4 9QS,512104,182257,,30.0,Yeading Brook,1800.0,Hillingdon
SE15 1SS,535100,177600,Unsurveyed/Urban,,River Thames,2590.0,Southwark
BA14 0FL,386254,155213,Planosols,40.0,River Biss,,Wiltshire
PO36 9YX,459022,83943,Luvisols,20.0,,980.0,
BS11 9AX,351511,178193,Unsurveyed/Urban,10.0,River Avon,,"Bristol, City of"
HA6 9EH,509824,190617,Unsurveyed/Urban,70.0,,1090.0,
PO2 0BN,464918,102300,,10.0,,1960.0,
BS8 2LS,357849,173808,Unsurveyed/Urban,60.0,,1140.0,"Bristol, City of"
PO21 3JW,489605,98725,Unsurveyed/Urban,10.0,Pagham Rife,,Arun
GU14 6DY,487584,153965,Unsurveyed/Urban,70.0,,800.0,Rushmoor
SO1 5EN,440646,113435,,20.0,,1110.0,
GU11 9WF,486560,150681,Unsurveyed/Urban,90.0,,,
CR2 6TG,532904,165801,Unsurveyed/Urban,60.0,River Wandle,3530.0,
PO33 1HX,459774,91459,,,,390.0,Isle of Wight
GU14 7XB,487203,154118,Unsurveyed/Urban,80.0,,1650.0,Rushmoor
SW14 7WA,520532,175905,Unsurveyed/Urban,0.0,River Thames,,Richmond upon Thames
PL2 2YS,245918,57109,Unsurveyed/Urban,40.0,,1140.0,Plymouth
DA6 7HG,548921,175088,,50.0,,1590.0,
BN3 3FW,528984,105133,Unsurveyed/Urban,20.0,River Adur,5530.0,
TR13 0AL,163907,32403,Histosols,100.0,,1750.0,
BA3 2EX,366461,153957,Arenosols,100.0,,,Bath and North East Somerset
RG26 5XY,470135,173949,Unsurveyed/Urban,,,1640.0,Reading
BH24 2QX,410896,103536,Podsols,20.0,,1610.0,
RG20 9NJ,448395,157694,Luvisols,130.0,,2150.0,Basingstoke and Deane
GU1 4PA,499682,150238,,40.0,River Wey,610.0,Guildford
BS24 0AP,332359,155705,,10.0,River Axe,,North Somerset
SE6 1JL,539687,173170,Unsurveyed/Urban,30.0,Ravensbourne River,,
PO2 7EE,464964,101641,,10.0,,2250.0,Portsmouth
RH14 9UN,508932,125106,,,Par Brook,,Horsham
TR13 9EJ,163081,25349,,10.0,,960.0,Cornwall
SO40 9GR,436244,112544,,10.0,Bartley Water,220.0,New Forest
SL5 7ET,492580,168602,,80.0,,,Windsor and Maidenhead
GU21 6JN,500603,158784,Unsurveyed/Urban,40.0,Basingstoke Canal,,Woking
SW9 9RF,530614,175776,,20.0,River Thames,3400.0,Lambeth
GU14 6BW,487306,154024,,80.0,,1080.0,Rushmoor
UB3 2SU,508684,181677,,,,,Hillingdon
DA3 7NA,561606,168772,Unsurveyed/Urban,80.0,River Darent,6200.0,
EX17 5LH,275049,104819,Stagnosols,90.0,Knighty Brook,,Mid Devon
BA3 3UG,367893,154490,Arenosols,,River Somer,440.0,Bath and North East Somerset
BS20 7AT,347429,176572,,10.0,,470.0,North Somerset
KT15 3JB,505266,162861,Luvisols,20.0,,1050.0,
DA6 8BA,548500,175300,Unsurveyed/Urban,50.0,River Shuttle,1580.0,
BN20 0EF,555343,98209,,110.0,,4180.0,Wealden
TN24 8ZA,601227,143045,Unsurveyed/Urban,50.0,Great Stour,640.0,
SN15 3AL,392491,172748,Leptosols,60.0,River Avon,,Wiltshire
SM1 2HR,524919,164529,Unsurveyed/Urban,,,,
BA4 5LG,362026,143686,,,River Sheppey,,Mendip
EX20 4HU,252549,91441,Cambisols,,,1050.0,West Devon
TN21 8AN,558399,120720,Luvisols,,Waldron Gill,,Wealden
DA15 8UB,546143,172855,,30.0,Wyncham Stream,870.0,Bexley
BN3 1WE,529752,105134,Unsurveyed/Urban,30.0,,,
PO22 7DW,495033,99573,Unsurveyed/Urban,0.0,Aldingbourne Rife,,Arun
PO19 2XQ,487551,104560,,10.0,River Lavant,1810.0,Chichester
SO2 7GR,443883,111442,Unsurveyed/Urban,,River Itchen,,Southampton
BH21 3YU,399096,96984,Podsols,70.0,,1130.0,Dorset
PL30 4JL,211335,73554,Histosols,,De Lank River,1850.0,Cornwall
BH1 9HH,409722,92041,Unsurveyed/Urban,40.0,,1960.0,
RG23 8ET,460672,152034,Unsurveyed/Urban,,River Loddon,2850.0,Basingstoke and Deane
PO19 4HW,487355,105467,Unsurveyed/Urban,,River Lavant,1740.0,Chichester
SO30 0WF,448725,114221,,30.0,,,Eastleigh
SE27 0JX,531800,172100,Unsurveyed/Urban,,,5060.0,Lambeth
OX9 8PF,457300,195900,Luvisols,50.0,,,
TW3 1DU,514461,175819,,20.0,,,Hounslow
PL2 2EU,245842,57289,Unsurveyed/Urban,,Ham Brook,,Plymouth
GU51 1AN,479885,155364,Podsols,70.0,,840.0,Hart
TR1 1WJ,182961,43918,Cambisols,10.0,Truro River,,Cornwall
TN9 9NH,559913,145919,Unsurveyed/Urban,,Botany Stream,,Tonbridge and Malling
SO50 7BW,449519,118631,,,,620.0,Eastleigh
GU17 7WS,482300,160800,Unsurveyed/Urban,,,360.0,Hart
RH2 0ES,526314,151212,Unsurveyed/Urban,110.0,,,Reigate and Banstead
TQ2 7JU,289420,66123,Unsurveyed/Urban,50.0,,720.0,Torbay
ME13 9HY,604737,160779,Luvisols,20.0,,690.0,Swale
SN11 8NL,400143,171140,,70.0,,1100.0,Wiltshire
SP11 9QY,426777,150993,Luvisols,130.0,,6680.0,Wiltshire
RG12 8GF,485193,167323,,,,,
SO4 0SF,428800,92200,Luvisols,10.0,Danes Stream,,New Forest
BA12 7PF,381304,145836,Cambisols,130.0,,800.0,Wiltshire
BN21 2SB,559694,100536,,50.0,,,
RG41 4DZ,479611,167102,,70.0,,750.0,Wokingham
RG41 3HS,479565,169295,Unsurveyed/Urban,,,540.0,
SE6 9EH,537721,172900,,,,1680.0,
DT4 7EY,368106,79730,Unsurveyed/Urban,10.0,,600.0,
SN11 8FW,400432,171739,Luvisols,80.0,,,
BA2 6YJ,376263,165296,,,,2760.0,Bath and North East Somerset
RG20 5QY,452530,158812,Planosols,100.0,,80.0,
SW19 9JT,524321,170180,,,River Wandle,,Merton
SL6 1NT,488760,181045,,30.0,White Brook,1410.0,Windsor and Maidenhead
BA14 4EW,385783,157995,,40.0,River Biss,510.0,Wiltshire
BH7 7UZ,409725,92040,,,The Bourne,1960.0,"Bournemouth, Christchurch and Poole"
SO45 6JJ,442632,107108,Unsurveyed/Urban,,,520.0,New Forest
SL5 9FT,493767,167833,Podsols,,,,Windsor and Maidenhead
KT20 5RE,523291,155971,Unsurveyed/Urban,,,,Reigate and Banstead
SW12 0BW,529064,173831,Unsurveyed/Urban,30.0,River Thames,3760.0,
BN1 2WD,531040,104624,Unsurveyed/Urban,,,7560.0,Brighton and Hove
KT5 9XT,518842,168682,Unsurveyed/Urban,,,260.0,
PO19 9NB,485922,104179,Unsurveyed/Urban,10.0,,620.0,Chichester
BA2 2DN,374144,163639,,,River Avon,1350.0,
SM7 1DQ,524365,158973,,170.0,,,Reigate and Banstead
PO7 8XQ,467346,110204,Stagnosols,40.0,,930.0,
CT6 8DJ,615876,168074,Unsurveyed/Urban,10.0,,1550.0,Canterbury
KT14 9BQ,506041,161877,Unsurveyed/Urban,,,710.0,Elmbridge
SN6 6EZ,409247,193573,,90.0,River Key,1230.0,
SW4 6DY,529448,175902,,,,2850.0,Lambeth
TW1 2PY,517487,174436,Gleysols,10.0,River Thames,,Richmond upon Thames
TN22 1DP,547207,122054,,,,1110.0,Wealden
SO53 4RA,442664,120314,Arenosols,30.0,,40.0,
BR7 5SX,540421,169620,Unsurveyed/Urban,70.0,Ravens Bourne,,
SM4 5JW,525968,168223,Unsurveyed/Urban,20.0,River Wandle,,Merton
CT4 5HP,619216,153064,,,Nail Bourne,5940.0,Canterbury
BS49 4ER,342817,165333,,10.0,,1500.0,North Somerset
RG29 1BE,473017,151400,Planosols,,River Whitewater,,Hart
BN16 4LH,506762,104906,Gleysols,,,870.0,Arun
KT17 4ED,521657,160859,,60.0,,1630.0,
PL4 9QY,249929,54294,Unsurveyed/Urban,10.0,River Plym,250.0,
BH8 9HH,410847,93874,Unsurveyed/Urban,30.0,River Stour,,"Bournemouth, Christchurch and Poole"
RG30 4YW,468455,173894,,,River Thames,,
GU17 7NF,480989,160166,Unsurveyed/Urban,,,1830.0,Hart
SM1 9HB,525907,163866,,60.0,Pyl Brook,4120.0,Sutton
PO13 9QU,455657,101294,Unsurveyed/Urban,10.0,River Alver,,Gosport
RG16 9RY,451048,173861,Planosols,120.0,,2240.0,West Berkshire
TW16 5BS,510520,170184,Unsurveyed/Urban,,Portlane Brook,540.0,Spelthorne
EX9 7HE,308200,85200,Cambisols,,,,East Devon
DA11 9ET,562432,174118,,30.0,River Thames,1230.0,Gravesham
TQ10 9DD,270282,59667,Cambisols,,,700.0,South Hams
EX4 7YG,292269,92680,Unsurveyed/Urban,,River Exe,970.0,Exeter
SE6 9HG,537721,172900,,20.0,,1680.0,
SW9 8BE,530642,175436,Unsurveyed/Urban,,River Thames,3710.0,
PO6 2HU,467183,104889,Unsurveyed/Urban,0.0,,,Portsmouth
RG25 1LR,474021,151080,Luvisols,,Basingstoke Canal,810.0,
GU3 3PH,496851,154258,Podsols,40.0,,,
SO2 9GY,444534,110797,Unsurveyed/Urban,20.0,,,Southampton
EX21 5NT,251338,105956,Cambisols,70.0,River Torridge,1230.0,
PO6 9BB,465600,105430,Unsurveyed/Urban,10.0,,2540.0,Portsmouth
TW16 6NT,510010,169645,Unsurveyed/Urban,,,2830.0,Spelthorne
PO9 5NN,472669,108842,Unsurveyed/Urban,,,1950.0,Havant
TN31 6UG,584472,124490,Planosols,30.0,,380.0,
BS35 4LW,355281,185331,Gleysols,,The Pill,420.0,South Gloucestershire
W4 9DZ,520717,178385,,10.0,,1580.0,
BA16 0DP,348659,136747,Unsurveyed/Urban,20.0,Old Rhyne,590.0,
TN20 6UF,559337,127227,Luvisols,110.0,,2210.0,Wealden
BN2 3QR,532109,105518,,,River Adur,8670.0,Brighton and Hove
GU1 9DD,499049,150522,,30.0,River Wey,1030.0,Guildford
CT7 9SF,629636,169347,Unsurveyed/Urban,10.0,Brooksend Stream,,Thanet
TW19 5LZ,501551,174378,Unsurveyed/Urban,20.0,Colne Brook,1060.0,
PL26 6QY,201627,44993,Unsurveyed/Urban,,,510.0,Cornwall
PO12 9FD,460019,100900,Unsurveyed/Urban,10.0,,2050.0,Gosport
BS39 4AG,361756,163757,,40.0,River Chew,,Bath and North East Somerset
UB10 0WG,505009,183132,Unsurveyed/Urban,30.0,,1320.0,Hillingdon
PO33 1GG,460524,91271,Planosols,,,,Isle of Wight
SO2 7BJ,444996,112595,Unsurveyed/Urban,40.0,River Itchen,1510.0,
RG26 5GP,465395,159735,Planosols,60.0,,1270.0,Basingstoke and Deane
RG40 4PX,479132,165321,Luvisols,,,,Wokingham
EX1 1DD,291900,92200,Unsurveyed/Urban,,River Exe,,Exeter
BS37 7EG,370911,184708,Stagnosols,70.0,,,South Gloucestershire
CT14 0PB,632541,156106,,10.0,The Delf,1640.0,
BS20 6YN,347240,175698,Gleysols,10.0,,430.0,
SW15 6DY,523355,174767,,20.0,Beverley Brook,1160.0,Wandsworth
CT15 4DT,627642,150598,Cambisols,80.0,,6910.0,Dover
BH31 6TH,409751,108085,Podsols,30.0,River Crane,900.0,
TN27 9DF,582925,144892,,30.0,,1790.0,
SP11 9LS,425786,149317,Leptosols,120.0,,4930.0,Wiltshire
SP6 1DB,413934,114142,Luvisols,30.0,Ashford Water,150.0,
TN22 5GL,548368,119797,Planosols,30.0,Ridgewood Stream,,Wealden
TR4 8YN,175000,44600,,80.0,,,Cornwall
RG22 4AR,462369,150542,,100.0,,2040.0,
SO45 5QX,441081,107085,Planosols,30.0,,1430.0,New Forest
TA2 7LD,323364,126887,,40.0,Kingston Stream,700.0,Somerset West and Taunton
EX20 2EQ,265779,101876,Cambisols,120.0,River Taw,,
TW18 1LQ,504822,170522,Unsurveyed/Urban,20.0,,2500.0,Spelthorne
RG4 8PD,471300,175700,,,River Thames,1210.0,Reading
CT12 5HT,635000,164200,Luvisols,20.0,,,
EX10 9PE,313286,89973,Unsurveyed/Urban,,River Sid,,East Devon
SM4 5QE,525000,167100,Unsurveyed/Urban,30.0,Pyl Brook,,
SE9 3LP,542715,172795,Unsurveyed/Urban,50.0,,,Greenwich
SW9 0ST,530699,176238,,10.0,River Thames,3060.0,Lambeth
BS34 5QU,358631,180982,Stagnosols,,,1220.0,South Gloucestershire
TQ12 6YA,284743,69923,Cambisols,50.0,,630.0,Teignbridge
SW15 2SN,524100,174900,,,,,
RH19 2NE,539241,140906,Luvisols,,,850.0,
PL12 5ZX,242804,58863,Arenosols,60.0,River Tamar,780.0,
BN52 9SH,529121,104388,,,,5640.0,
RH1 6QA,527512,149380,,,,,Reigate and Banstead
TW3 2AG,513727,175141,Unsurveyed/Urban,20.0,River Crane,1640.0,
SE6 1YT,538824,173594,Unsurveyed/Urban,30.0,,2350.0,Lewisham
GU29 9JF,488315,120473,Podsols,30.0,,,Chichester
BS3 5AZ,358791,170904,Unsurveyed/Urban,,The Malago,330.0,
TW3 3AS,513371,175710,Unsurveyed/Urban,20.0,,2310.0,Hounslow
GU8 4LP,499580,136084,,50.0,,170.0,Waverley
EX31 3QA,252061,127466,Cambisols,,,1890.0,North Devon
RH1 9FP,528212,150643,,,Redhill Brook,,Reigate and Banstead
TN12 9PS,570858,146622,Planosols,20.0,,410.0,
DA1 9BU,553664,174039,Unsurveyed/Urban,20.0,,1370.0,Dartford
PO5 3HN,464280,98875,Unsurveyed/Urban,10.0,,,
GU31 4XR,475466,123203,Luvisols,60.0,,510.0,
BS36 2PN,367518,181188,Unsurveyed/Urban,,River Frome,1230.0,South Gloucestershire
RG17 9SU,438558,165093,Planosols,140.0,,,West Berkshire
RG13 4PG,451500,167000,Luvisols,70.0,,1210.0,West Berkshire
GU22 8QJ,503420,159932,Unsurveyed/Urban,,Basingstoke Canal,2460.0,
DA1 3RD,551398,173945,,30.0,River Cray,830.0,Bexley
KT24 5NT,512206,153276,Arenosols,80.0,,1810.0,Guildford
BH7 6BN,413100,92800,,20.0,River Stour,,"Bournemouth, Christchurch and Poole"
PL25 5BQ,201212,52329,Unsurveyed/Urban,,St Austell River,750.0,Cornwall
PL5 3PW,246481,58784,,60.0,Ham Brook,870.0,Plymouth
ME8 0HL,580500,164900,Unsurveyed/Urban,,,,Medway
