postcode,easting,northing,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority
RH10 9UB,526889,136881,Unsurveyed/Urban,70,Gatwick Stream,3050.0,Crawley
TN22 1PL,546550,120775,Luvisols,20,River Uck,170.0,Wealden
KT17 3AT,522074,160953,Unsurveyed/Urban,70,,1900.0,Epsom and Ewell
GU13 8SQ,480595,154342,Unsurveyed/Urban,80,,1500.0,Hart
BA1 7RP,378716,166651,Cambisols,40,River Avon,870.0,Bath and North East Somerset
GU15 9EG,486025,159806,Unsurveyed/Urban,60,Blackwater River,420.0,Surrey Heath
DA12 2WN,565041,174030,Unsurveyed/Urban,20,River Thames,950.0,Gravesham
SE23 1PA,536158,174233,Unsurveyed/Urban,40,Ravensbourne River,1390.0,Lewisham
TN27 9ZQ,585210,145059,Planosols,30,,1360.0,Maidstone
GU1 2XA,502600,150600,Unsurveyed/Urban,80,,1920.0,Guildford
SE28 8BQ,546984,180395,Unsurveyed/Urban,0,,710.0,Greenwich
SE10 9YS,540202,178646,Unsurveyed/Urban,10,Woolwich Reach,2960.0,Greenwich
BN50 9HR,531040,104624,Unsurveyed/Urban,30,River Adur,7560.0,Brighton and Hove
PO21 1LQ,493700,99000,Unsurveyed/Urban,10,Aldingbourne Rife,1250.0,Arun
ME2 2HT,572036,168616,Unsurveyed/Urban,50,Wickham Reach,1520.0,Medway
BH23 4BP,418563,92461,Unsurveyed/Urban,0,Bure Brook,810.0,"Bournemouth, Christchurch and Poole"
PO22 6BD,496584,101151,Luvisols,0,Ryebank Rife,650.0,Arun
SE11 5SS,531011,177685,Unsurveyed/Urban,10,River Thames,2360.0,Lambeth
SO41 8WN,432271,95427,Unsurveyed/Urban,20,,240.0,New Forest
TR14 9JY,165568,37459,Histosols,150,,890.0,Cornwall
PL25 3PD,203237,52814,Cambisols,50,,650.0,Cornwall
TR18 2JP,147247,30227,Unsurveyed/Urban,30,Larriggan River,2080.0,Cornwall
BA1 5BL,375122,165550,Unsurveyed/Urban,30,River Avon,760.0,Bath and North East Somerset
RG4 5BX,472448,174484,Unsurveyed/Urban,40,River Thames,680.0,Reading
TR2 4HA,191387,54363,Cambisols,80,,600.0,Cornwall
SL6 2WD,489271,180742,Luvisols,30,White Brook,1700.0,Windsor and Maidenhead
RH1 1UF,528063,150528,Unsurveyed/Urban,80,Redhill Brook,1200.0,Reigate and Banstead
BS99 5NH,360204,173429,Unsurveyed/Urban,20,River Frome,820.0,"Bristol, City of"
SL4 9EW,496593,176716,Unsurveyed/Urban,30,Bourne Ditch,1020.0,Windsor and Maidenhead
BH2 6AE,407944,91303,Unsurveyed/Urban,30,The Bourne,180.0,"Bournemouth, Christchurch and Poole"
BH11 8RP,406106,94351,Unsurveyed/Urban,50,,580.0,"Bournemouth, Christchurch and Poole"
TR20 8SZ,144991,32171,Histosols,130,Larriggan River,1490.0,Cornwall
BN21 1XR,559331,101038,Unsurveyed/Urban,40,,980.0,Eastbourne
PL12 6XP,241639,59642,Cambisols,40,Latchbrook Leat,1140.0,Cornwall
TR19 6AU,144664,29075,Cambisols,40,Newlyn Coombe River,210.0,Cornwall
SE1 0XL,531704,180192,Unsurveyed/Urban,10,River Thames,470.0,Southwark
BS40 5HN,346315,160840,Planosols,20,Langford Brook,80.0,North Somerset
KT21 1EY,519473,157744,Luvisols,100,The Rye,3350.0,Mole Valley
SE24 0BH,532010,175069,Unsurveyed/Urban,20,River Thames,4790.0,Lambeth
RG21 4HB,464328,152904,Unsurveyed/Urban,100,River Loddon,930.0,Basingstoke and Deane
TQ4 9DA,288792,60830,Unsurveyed/Urban,10,,1210.0,Torbay
SM1 1BU,525800,163800,Unsurveyed/Urban,60,Pyl Brook,4110.0,Sutton
DA4 9LL,555502,167822,Gleysols,50,River Darent,1300.0,Sevenoaks
BS15 1LG,364369,174482,Unsurveyed/Urban,110,River Frome,2860.0,"Bristol, City of"
SE16 5WY,534244,179253,Unsurveyed/Urban,10,Upper Pool,1080.0,Southwark
SO16 8ZX,440100,112800,Unsurveyed/Urban,10,Tanner's Brook,1280.0,Southampton
EX5 7DA,300055,94811,Arenosols,30,,980.0,East Devon
PO9 1XP,472039,106225,Unsurveyed/Urban,10,,760.0,Havant
PO12 1HQ,462244,99607,Unsurveyed/Urban,0,,660.0,Gosport
RH19 2BZ,539088,139355,Unsurveyed/Urban,110,,820.0,Mid Sussex
TN2 9JT,559924,142133,Planosols,70,,400.0,Tunbridge Wells
TW18 3LJ,503308,169594,Unsurveyed/Urban,20,River Thames,880.0,Runnymede
TN11 9AB,557131,148280,Planosols,30,Hilden Brook,1030.0,Tonbridge and Malling
BR3 4DH,536340,168622,Unsurveyed/Urban,30,,480.0,Bromley
PO36 8NT,459203,83506,Luvisols,30,Scotchells Brook,1260.0,Isle of Wight
RH4 2AF,516881,148527,Cambisols,100,Bents Brook,1180.0,Mole Valley
DT11 7EN,388949,106284,Unsurveyed/Urban,40,River Stour,1000.0,Dorset
SO52 9PF,439220,119794,Unsurveyed/Urban,50,Tanner's Brook,1090.0,Test Valley
SE11 4TD,531768,179002,Unsurveyed/Urban,10,River Thames,1620.0,Southwark
TQ13 7NR,273160,69904,Histosols,90,River Dart,1000.0,South Hams
BA2 8BS,371583,159610,Cambisols,70,Cam Brook,1120.0,Bath and North East Somerset
BS22 8LT,333915,161471,Unsurveyed/Urban,10,Uphill Great Rhyne,1550.0,North Somerset
SO3 3FU,447025,114560,Unsurveyed/Urban,50,,1750.0,Eastleigh
SN14 8JJ,377248,173729,Leptosols,190,St Catherine's Brook,2700.0,South Gloucestershire
SE1P 5WL,533378,178838,Unsurveyed/Urban,10,Upper Pool,1400.0,Southwark
TN26 2BT,596974,131607,Luvisols,20,Royal Military Canal,3280.0,Ashford
RH10 1ST,528196,137787,Unsurveyed/Urban,70,Gatwick Stream,1760.0,Crawley
SL6 7ZB,489271,180742,Luvisols,30,White Brook,1700.0,Windsor and Maidenhead
BS12 7AH,360541,179509,Unsurveyed/Urban,60,,1190.0,South Gloucestershire
SM7 2HX,525225,158885,Unsurveyed/Urban,160,,5670.0,Reigate and Banstead
RH1 4AB,528212,150643,Unsurveyed/Urban,80,Redhill Brook,1180.0,Reigate and Banstead
EX14 8RF,315540,100181,Unsurveyed/Urban,110,The Gissage,570.0,East Devon
TN12 9EW,574786,144409,Luvisols,30,,2320.0,Maidstone
BH1 9JE,409722,92041,Unsurveyed/Urban,40,The Bourne,1960.0,"Bournemouth, Christchurch and Poole"
SP1 1HW,414785,129988,Unsurveyed/Urban,50,River Avon,1180.0,Wiltshire
PL1 1FR,247600,54400,Unsurveyed/Urban,10,River Plym,1770.0,Plymouth
GU21 4AP,500345,159197,Unsurveyed/Urban,30,Basingstoke Canal,750.0,Woking
DA11 0LS,564062,173282,Unsurveyed/Urban,20,River Thames,1820.0,Gravesham
TR1 2GQ,182244,44660,Unsurveyed/Urban,20,River Kenwyn,410.0,Cornwall
SL6 7NA,487919,181978,Unsurveyed/Urban,50,White Brook,1210.0,Windsor and Maidenhead
SE5 7RA,532974,177055,Unsurveyed/Urban,10,River Thames,4410.0,Southwark
PO36 8EB,460167,84937,Gleysols,10,,210.0,Isle of Wight
TN19 7PY,573786,126062,Luvisols,90,River Rother,1510.0,Rother
SO50 9UJ,444617,119991,Luvisols,20,,230.0,Eastleigh
TN25 7FP,602517,139593,Gleysols,40,East Stour River,240.0,Ashford
TA24 5SN,296488,146570,Unsurveyed/Urban,60,,1060.0,Somerset West and Taunton
BS40 8FG,356058,161754,Luvisols,60,Babylon Brook,430.0,Bath and North East Somerset
SN11 9AZ,399843,171991,Leptosols,80,Abberd Brook,1270.0,Wiltshire
TN14 5WQ,552989,154629,Unsurveyed/Urban,150,,1950.0,Sevenoaks
SO9 4TH,442900,111500,Unsurveyed/Urban,10,River Itchen,1460.0,Southampton
KT10 8QQ,513391,165028,Unsurveyed/Urban,30,River Mole,500.0,Elmbridge
TR27 4SA,156253,37334,Unsurveyed/Urban,30,,760.0,Cornwall
BA1 2AH,374775,164832,Unsurveyed/Urban,20,River Avon,1160.0,Bath and North East Somerset
TW9 1ET,517800,174800,Unsurveyed/Urban,10,River Thames,290.0,Richmond upon Thames
PO14 9GQ,457310,105177,Unsurveyed/Urban,10,Heavy Reach,1910.0,Fareham
SW16 6HG,530004,171514,Unsurveyed/Urban,50,River Wandle,4560.0,Lambeth
GU28 9ND,496234,126419,Luvisols,60,,1410.0,Chichester
RG19 3SA,451016,167430,Planosols,80,,260.0,West Berkshire
TN34 9BZ,581387,109639,Unsurveyed/Urban,10,,420.0,Hastings
EX9 6NN,306503,81941,Cambisols,10,,1540.0,East Devon
RG30 3XT,468017,170487,Luvisols,40,River Kennet,350.0,West Berkshire
TR10 8EA,178501,34733,Cambisols,20,,230.0,Cornwall
TW8 8EE,517394,177414,Unsurveyed/Urban,10,River Brent,90.0,Hounslow
PO6 2LA,467086,104933,Unsurveyed/Urban,0,,1400.0,Portsmouth
KT11 1BY,510576,160928,Luvisols,20,River Mole,1110.0,Elmbridge
EX19 8EW,262700,108900,Stagnosols,170,,3100.0,Torridge
SW3 9GB,529383,175459,Unsurveyed/Urban,20,River Thames,3280.0,Lambeth
EX6 7LN,280344,86720,Histosols,290,Rookery Brook,570.0,Teignbridge
BR3 3HF,536987,167676,Unsurveyed/Urban,50,,740.0,Bromley
ME1 2AJ,574979,166665,Unsurveyed/Urban,70,Tower Reach,2150.0,Medway
UB8 1AE,505389,183985,Unsurveyed/Urban,40,Fray's River,920.0,Hillingdon
TW12 9AQ,513447,169655,Unsurveyed/Urban,10,River Thames,1000.0,Richmond upon Thames
GU27 1AW,489385,132908,Podsols,140,,270.0,Waverley
RG31 6GD,466129,175610,Unsurveyed/Urban,70,River Thames,1010.0,West Berkshire
CR2 2EP,531400,161000,Unsurveyed/Urban,70,River Wandle,4830.0,Croydon
BH19 3EY,400207,79003,Leptosols,60,,1040.0,Dorset
TR14 9BE,166462,40264,Histosols,100,Red River,940.0,Cornwall
SO40 9EN,435841,112545,Unsurveyed/Urban,10,Bartley Water,830.0,New Forest
TW13 7DH,510801,171935,Unsurveyed/Urban,20,River Ash,4260.0,Hounslow
RG7 5DS,462596,172071,Luvisols,50,,850.0,West Berkshire
TN23 1ED,599949,142755,Unsurveyed/Urban,40,Great Stour,510.0,Ashford
RG12 8AW,484810,168532,Planosols,70,,1270.0,Bracknell Forest
SM7 2GD,525237,159684,Unsurveyed/Urban,160,,5280.0,Reigate and Banstead
DA15 7ZU,544800,172600,Unsurveyed/Urban,40,Wyncham Stream,780.0,Bexley
TQ12 6WJ,281468,74769,Cambisols,40,Liverton Brook,460.0,Teignbridge
GU11 2PL,486800,150800,Unsurveyed/Urban,90,Blackwater River,1630.0,Rushmoor
TA6 4NZ,331184,138491,Leptosols,10,River Parrett,860.0,Sedgemoor
RG12 1JW,486500,169100,Unsurveyed/Urban,70,,710.0,Bracknell Forest
CT6 9BX,617366,167189,Unsurveyed/Urban,10,Plenty Brook,520.0,Canterbury
PO15 6AW,456646,106868,Unsurveyed/Urban,20,Heavy Reach,3210.0,Fareham
ME5 7LS,577293,166575,Unsurveyed/Urban,20,Tower Reach,3440.0,Medway
GU34 2ET,471961,140075,Unsurveyed/Urban,120,River Wey,790.0,East Hampshire
KT12 5BU,509629,164001,Unsurveyed/Urban,30,River Mole,2010.0,Elmbridge
SO15 3JU,439915,113337,Unsurveyed/Urban,20,Tanner's Brook,930.0,Southampton
OX9 5AT,468392,197833,Luvisols,100,,540.0,South Oxfordshire
KT15 3WX,505258,164668,Unsurveyed/Urban,20,The Bourne,1220.0,Runnymede
TA20 2RP,332900,105200,Planosols,90,,420.0,South Somerset
SO3 6FJ,449200,106500,Unsurveyed/Urban,10,,1250.0,Fareham
RG45 7FL,484676,163928,Podsols,110,,830.0,Bracknell Forest
TN4 0JR,557386,142076,Unsurveyed/Urban,100,,440.0,Tunbridge Wells
SN10 9BX,400655,161386,Unsurveyed/Urban,130,Kennet and Avon Canal,5910.0,Wiltshire
BS5 9EY,361681,173654,Unsurveyed/Urban,30,River Frome,1910.0,"Bristol, City of"
SO15 3AD,440705,112485,Unsurveyed/Urban,10,,620.0,Southampton
SN14 7PZ,386718,176603,Cambisols,120,By Brook,2360.0,Wiltshire
DA14 5ZN,547200,170800,Unsurveyed/Urban,30,River Cray,580.0,Bexley
ME5 7NW,577423,166200,Unsurveyed/Urban,30,Tower Reach,3780.0,Medway
SO5 4JH,445837,120255,Unsurveyed/Urban,20,The Itchen Navigation,380.0,Eastleigh
TA4 3LX,317386,127600,Luvisols,50,,280.0,Somerset West and Taunton
RG1 5ZN,471321,174026,Unsurveyed/Urban,40,River Thames,540.0,Reading
CT10 3BN,638351,170192,Luvisols,40,River Stour,8560.0,Thanet
BS14 8ND,362843,168690,Unsurveyed/Urban,80,,1240.0,"Bristol, City of"
BH23 5LJ,421696,93849,Unsurveyed/Urban,30,Walkford Brook,1150.0,"Bournemouth, Christchurch and Poole"
ME1 1ER,574465,168316,Unsurveyed/Urban,10,Tower Reach,510.0,Medway
BN1 3YD,530909,104430,Unsurveyed/Urban,30,River Adur,7430.0,Brighton and Hove
SN12 6BS,390556,162993,Unsurveyed/Urban,40,Clackers Brook,1180.0,Wiltshire
SE11 5TN,531083,177594,Unsurveyed/Urban,10,River Thames,2460.0,Lambeth
SW15 5RL,521469,175173,Unsurveyed/Urban,10,Beverley Brook,790.0,Wandsworth
SP4 0EG,423179,143517,Cambisols,100,River Bourne,3880.0,Wiltshire
BS99 5RA,360204,173429,Unsurveyed/Urban,20,River Frome,820.0,"Bristol, City of"
TN1 2GE,558752,140184,Unsurveyed/Urban,100,,1900.0,Tunbridge Wells
RG1 8DJ,471422,174136,Unsurveyed/Urban,40,River Thames,400.0,Reading
SO22 4AW,447333,128277,Unsurveyed/Urban,50,,740.0,Winchester
DT6 4QZ,348792,89470,Cambisols,10,River Bride,400.0,Dorset
DA7 4LE,548942,175990,Unsurveyed/Urban,50,River Cray,2770.0,Bexley
SW2 4LF,530000,173500,Unsurveyed/Urban,40,River Thames,4680.0,Lambeth
TR15 3SF,167392,41459,Cambisols,110,,1930.0,Cornwall
SO32 1JF,453643,120437,Luvisols,80,,2130.0,Winchester
SE11 4EA,531407,178270,Unsurveyed/Urban,10,River Thames,2560.0,Lambeth
SW18 4JZ,525433,174730,Unsurveyed/Urban,10,River Wandle,2170.0,Wandsworth
SO3 7ET,451161,108471,Unsurveyed/Urban,50,,1160.0,Fareham
TN6 1QW,550912,130507,Unsurveyed/Urban,230,,2040.0,Wealden
SW15 4EH,521932,173988,Unsurveyed/Urban,30,Beverley Brook,1210.0,Wandsworth
BA12 6AU,382091,132894,Cambisols,120,Shreen Water,2240.0,Wiltshire
TR7 2YX,181301,61708,Leptosols,40,,760.0,Cornwall
BS12 3DU,359902,187093,Luvisols,10,Olveston Mill Rhine,690.0,South Gloucestershire
RG1 3AU,472022,173341,Unsurveyed/Urban,40,Kennet and Avon Canal,350.0,Reading
PO2 7AH,464757,101856,Unsurveyed/Urban,10,,1960.0,Portsmouth
CT20 3HT,619663,135060,Unsurveyed/Urban,10,Royal Military Canal,850.0,Folkestone and Hythe
BS21 7AP,342359,173420,Leptosols,30,Walton Brook,2160.0,North Somerset
GU32 3XT,474606,123261,Luvisols,60,,480.0,East Hampshire
TQ7 3ZW,273513,44195,Cambisols,10,,670.0,South Hams
SO4 3HY,435676,113667,Unsurveyed/Urban,10,,1180.0,New Forest
SW1P 1GR,529548,177433,Unsurveyed/Urban,0,River Thames,1430.0,Wandsworth
EX32 9ET,256819,131607,Unsurveyed/Urban,30,,1460.0,North Devon
GU15 4ZW,488238,161708,Unsurveyed/Urban,120,,540.0,Surrey Heath
PL15 9SD,236135,90389,Cambisols,100,River Carey,640.0,Torridge
ME7 2DH,578831,167855,Unsurveyed/Urban,40,River Medway,2520.0,Medway
BS3 2NP,357556,170687,Unsurveyed/Urban,20,The Malago,940.0,"Bristol, City of"
TW7 5AY,516362,176827,Unsurveyed/Urban,10,,1270.0,Hounslow
RG12 2HX,487390,169558,Unsurveyed/Urban,80,Bull Brook,1030.0,Bracknell Forest
CT17 0AF,631104,141688,Unsurveyed/Urban,30,River Dour,460.0,Dover
KT7 0ZS,518842,168682,Unsurveyed/Urban,10,Hogsmill River,260.0,Kingston upon Thames
EX39 5HF,245733,124040,Histosols,10,River Yeo,340.0,Torridge
BS10 6AF,357665,178028,Unsurveyed/Urban,60,River Trym,710.0,"Bristol, City of"
SE19 9DQ,533373,170622,Unsurveyed/Urban,110,,3060.0,Croydon
SO51 7JD,436870,121867,Unsurveyed/Urban,30,Tadburn Lake,380.0,Test Valley
SL4 4AL,494118,175548,Unsurveyed/Urban,60,,1910.0,Windsor and Maidenhead
UB3 2PG,508431,181064,Unsurveyed/Urban,40,Grand Union Canal,1780.0,Hillingdon
SM1 9PL,525906,163865,Unsurveyed/Urban,60,Pyl Brook,4120.0,Sutton
RG42 3SW,489133,169747,Podsols,90,Bull Brook,730.0,Bracknell Forest
BN3 4FE,527835,104787,Unsurveyed/Urban,10,River Adur,4350.0,Brighton and Hove
BA21 5TR,357427,119905,Cambisols,20,River Ivel,300.0,South Somerset
SN14 0RQ,388987,173766,Leptosols,90,,1480.0,Wiltshire
BN2 7HS,537042,102164,Unsurveyed/Urban,10,River Ouse,6610.0,Brighton and Hove
SL5 5FF,493768,167833,Podsols,70,,830.0,Windsor and Maidenhead
TN6 3SS,550244,128455,Luvisols,130,,570.0,Wealden
RG40 9AS,481116,168612,Unsurveyed/Urban,70,Emm Brook,750.0,Wokingham
SE27 9ZE,532322,171942,Unsurveyed/Urban,60,Pool River,4530.0,Lambeth
SW15 2LD,524122,175274,Unsurveyed/Urban,10,River Thames,720.0,Wandsworth
SO41 9TG,432579,94965,Unsurveyed/Urban,10,,480.0,New Forest
TN21 8GD,558468,120954,Luvisols,140,,860.0,Wealden
BH23 1NR,414715,92871,Unsurveyed/Urban,0,River Stour,290.0,"Bournemouth, Christchurch and Poole"
TW3 1BE,513956,176009,Unsurveyed/Urban,20,River Crane,2370.0,Hounslow
BR7 6LA,544230,171953,Unsurveyed/Urban,70,,540.0,Bromley
TW18 3BL,502273,171587,Unsurveyed/Urban,20,,840.0,Runnymede
EX16 5NN,293192,112362,Cambisols,190,,380.0,Mid Devon
PO33 2PY,459104,92378,Planosols,40,Monktonmead Brook,780.0,Isle of Wight
DA16 2EQ,545941,175827,Unsurveyed/Urban,50,,1370.0,Bexley
ME12 4NY,601946,171598,Stagnosols,20,Capel Fleet,3350.0,Swale
BN13 1PS,513300,104600,Unsurveyed/Urban,20,,2100.0,Worthing
PL1 4QX,245836,55264,Unsurveyed/Urban,40,River Tamar,1690.0,Plymouth
CR2 1BG,531406,166024,Unsurveyed/Urban,40,River Wandle,2100.0,Croydon
TW12 1DA,514454,171462,Unsurveyed/Urban,10,Longford River,670.0,Richmond upon Thames
TW18 4GA,503825,171810,Unsurveyed/Urban,20,River Ash,320.0,Spelthorne
DT3 5PS,367593,85162,Leptosols,70,River Wey,1240.0,Dorset
SN4 8FT,407865,181792,Stagnosols,120,,180.0,Wiltshire
BA4 6AG,369519,139509,Luvisols,110,,200.0,Mendip
UB4 0RR,509893,181478,Unsurveyed/Urban,40,Yeading Brook,1300.0,Hillingdon
RG14 2HH,448267,168073,Unsurveyed/Urban,80,River Lambourn,380.0,West Berkshire
SP10 9HD,436302,145363,Unsurveyed/Urban,60,River Anton,80.0,Test Valley
UB7 8QG,506291,180941,Unsurveyed/Urban,30,River Pinn,3130.0,Hillingdon
RG42 9GU,485549,169225,Unsurveyed/Urban,60,,280.0,Bracknell Forest
CT2 7AF,614697,159472,Unsurveyed/Urban,30,Great Stour,1020.0,Canterbury
ME2 2NA,573000,168400,Unsurveyed/Urban,20,River Medway,770.0,Medway
ME3 7SD,574065,175179,Cambisols,10,,1760.0,Medway
TA4 2BH,305139,124183,Cambisols,160,River Tone,680.0,Somerset West and Taunton
SE9 1TD,542801,174440,Unsurveyed/Urban,60,,1270.0,Greenwich
TA12 6HS,346414,120448,Luvisols,20,Mill Brook,1330.0,South Somerset
SW17 0YG,527625,171548,Unsurveyed/Urban,20,River Wandle,1910.0,Wandsworth
SO53 3TZ,443453,118805,Unsurveyed/Urban,30,,180.0,Eastleigh
GU51 5JL,479548,154750,Unsurveyed/Urban,70,,870.0,Hart
DA11 9LQ,563587,174013,Unsurveyed/Urban,20,River Thames,970.0,Gravesham
PO1 4PA,464688,101140,Unsurveyed/Urban,10,,2330.0,Portsmouth
BR7 5WX,540421,169620,Unsurveyed/Urban,70,Ravens Bourne,860.0,Bromley
CT18 8FE,618159,141340,Luvisols,160,Nail Bourne,5830.0,Folkestone and Hythe
CR4 1PU,530209,168058,Unsurveyed/Urban,40,,2610.0,Merton
PO21 5SP,491553,99312,Unsurveyed/Urban,10,Aldingbourne Rife,2680.0,Arun
BH4 8DX,406968,91193,Unsurveyed/Urban,40,The Bourne,920.0,"Bournemouth, Christchurch and Poole"
RH12 4BL,518673,132147,Unsurveyed/Urban,70,Channells Brook,980.0,Horsham
TN35 4NT,582441,114722,Luvisols,20,,40.0,Rother
TW7 7TF,517054,177215,Unsurveyed/Urban,10,,960.0,Hounslow
PO16 9PY,461864,105409,Unsurveyed/Urban,10,Heavy Reach,2700.0,Fareham
DA12 5QX,565657,172320,Unsurveyed/Urban,40,,2260.0,Gravesham
SW4 0EG,529284,175556,Unsurveyed/Urban,20,River Thames,3170.0,Lambeth
TN27 9SF,583693,144228,Planosols,20,,1920.0,Maidstone
EX1 9NH,292656,92951,Unsurveyed/Urban,40,River Exe,1320.0,Exeter
RH17 5AU,528822,124304,Planosols,70,,890.0,Mid Sussex
GU25 4LJ,499278,169203,Planosols,50,,970.0,Runnymede
BS1 3QN,359133,173927,Unsurveyed/Urban,20,River Frome,400.0,"Bristol, City of"
RG3 4QU,466473,173205,Unsurveyed/Urban,100,,2410.0,Reading
